pair,n_obs,a_DCC,b_DCC,loglik_DCC,a_ADCC,b_ADCC,g_ADCC,loglik_ADCC,mean_rho_DCC,sd_rho_DCC,min_rho_DCC,max_rho_DCC,corr_const_naive,loglik_CCC,LR_stat_vs_CCC,LR_pvalue_vs_CCC
BUIDL-FANG,527,1.0000000067837689e-06,0.662957139313221,0.6518833346387487,1.0000000004228992e-06,0.949571720326685,0.04021164694466024,1.2997175500585052,0.051439601499852,1.205588374332704e-06,0.051432531792082695,0.051445336316419975,0.05143960588053425,0.6518879765643332,0.0,1.0
BUIDL-SOXX,527,1.0000012544281178e-06,1.0000002144128217e-06,1.0416467524535256,1.0000000275718893e-06,1.000000000098808e-06,0.016788320449196283,1.0427894129013409,0.06480704519697225,1.0048767785541588e-06,0.06479547624382853,0.06481229793400736,0.06480704593033029,1.0416503581771446,0.0,1.0
BUIDL-SMH,527,9.999999999992654e-07,0.45803257143719966,1.5726839431383783,1e-06,0.055018929530756266,0.07784420442805558,1.6292691963477317,0.07938512769462704,1.2262304250050404e-06,0.0793695840135279,0.07939096077366536,0.07938512951696985,1.572686050629219,0.0,1.0
OUSG-FANG,879,0.17335776841751857,1.0000000000217848e-06,1.1413108664617864,0.17571015331471865,1e-06,0.07471625092150248,1.2156270194111962,0.016722803347453966,0.09314576019226145,-0.6258927829588191,0.6828522942695959,0.015180358492796874,0.0976003915900013,2.0874209497435703,0.35214562735205
OUSG-SOXX,879,0.23642976951726724,1e-06,2.4749523269765676,0.2242090426797064,1e-06,0.09832480055459367,2.5984608477143407,0.003233535821229269,0.11683038724629353,-0.651129091961257,0.6751538645293825,0.0018353443800126694,-0.00041811543041688046,4.950740884813969,0.08413181849064899
OUSG-SMH,879,0.2316188264041811,1e-06,2.3726567452633396,0.22261221436470363,1e-06,0.1003846272450254,2.5249905815495577,-0.003100002948611699,0.1154485114026079,-0.6418203618880781,0.69024296173828,-0.004669638529363711,0.01182405429327468,4.72166538194013,0.09434163305424714
sUSDS-FANG,370,0.20847955474073998,0.6177775956269325,1.3777256180247104,0.20847924681463958,0.6177769863886697,1e-06,1.377718848187211,-0.02985913218368645,0.1966148125330277,-0.7249362919893255,0.4847407596869912,-0.03188001569401741,0.12184286748035265,2.5117655010887154,0.28482430840404127
sUSDS-SOXX,370,0.13282652941007686,0.6080860626460531,0.07858542218914638,9.999999999992654e-07,1e-06,0.3,0.682041858396104,-0.001191660433858315,0.12401271571436497,-0.5035836998092302,0.4815919771456788,-0.0026880933995238033,0.0011671969955332159,0.15483645038722632,0.9255027041066868
sUSDS-SMH,370,0.12796229323557168,0.6158380381030536,0.1655161439177353,9.999999999992654e-07,1e-06,0.3,0.6431018835235075,-0.017081560018687533,0.121820250968967,-0.5354478114809668,0.39297351708228456,-0.019564279090125276,0.04385829154099291,0.2433157047534848,0.8854512717289951
BUIDL-BTC,527,1.000000000001e-06,1.0000000000287557e-06,0.8803878292719987,1.000000000001e-06,1.0000000000287557e-06,1.000000000001e-06,0.8803857003358759,0.05908838684802641,7.666176761609245e-07,0.05908248335505994,0.05909374964939168,0.05908838822912743,0.880393064422385,0.0,1.0
