series,model,AIC,BIC,loglik,convergence_flag,boundary_pinned,selected
FANG,GARCH,3337.695536131523,3371.3510807374228,-1661.8477680657616,0,False,False
FANG,GJR-GARCH,3332.0327939380286,3370.496273487628,-1658.0163969690143,0,False,False
FANG,EGARCH,3325.418652293177,3363.8821318427763,-1654.7093261465884,0,False,True
SOXX,GARCH,3948.0556903673923,3981.711234973292,-1967.0278451836962,0,False,True
SOXX,GJR-GARCH,3949.0842164086057,3987.547695958205,-1966.5421082043028,0,False,False
SOXX,EGARCH,3951.1408138199195,3989.604293369519,-1967.5704069099597,0,False,False
SMH,GARCH,3860.685624176129,3894.3411687820285,-1923.3428120880644,0,False,False
SMH,GJR-GARCH,3858.6803250895946,3897.143804639194,-1921.3401625447973,0,False,True
SMH,EGARCH,3860.3448038557126,3898.808283405312,-1922.1724019278563,0,False,False
SHV,GARCH,185414.6367472985,185448.2922919044,-92700.31837364925,4,True,False
SHV,GJR-GARCH,-3132.2941604737225,-3093.830680924123,1574.1470802368613,0,False,True
SHV,EGARCH,4764.361978128138,4802.825457677737,-2374.180989064069,4,True,False
IEF,GARCH,977.5001333798793,1011.1556779857788,-481.7500666899397,0,False,True
IEF,GJR-GARCH,977.1309885783407,1015.5944681279401,-480.5654942891704,0,True,False
IEF,EGARCH,4425.124046731743,4463.587526281342,-2204.5620233658715,9,False,False
BUIDL,GARCH,1684.3129920576732,1714.1833958974628,-835.1564960288366,0,False,False
BUIDL,GJR-GARCH,1674.2539649377209,1708.3915693260517,-829.1269824688604,0,True,False
BUIDL,EGARCH,1651.641367389865,1685.778971778196,-817.8206836949325,0,False,True
OUSG,GARCH,2865.102262042469,2898.5537563262656,-1425.5511310212346,0,False,False
OUSG,GJR-GARCH,2862.844170545023,2901.0744497265046,-1423.4220852725116,0,True,False
OUSG,EGARCH,2850.6738208451316,2888.904100026613,-1417.3369104225658,0,False,True
sUSDS,GARCH,1858.5180009150297,1885.9125219544976,-922.2590004575148,0,True,False
sUSDS,GJR-GARCH,1855.8298656750735,1887.1378897201796,-919.9149328375368,0,True,False
sUSDS,EGARCH,1854.6190364577146,1885.9270605028207,-919.3095182288573,0,True,True
BTC,GARCH,4398.1626265712,4431.818171177099,-2192.0813132856,0,False,False
BTC,GJR-GARCH,4395.516955751029,4433.980435300628,-2189.7584778755145,0,False,False
BTC,EGARCH,4394.149608546009,4432.613088095609,-2189.0748042730047,0,False,True
ETH,GARCH,4904.236055354733,4937.891599960632,-2445.1180276773666,0,False,False
ETH,GJR-GARCH,4905.984073793454,4944.447553343053,-2444.992036896727,0,False,False
ETH,EGARCH,4903.994672990248,4942.458152539847,-2443.997336495124,0,False,True
UNI,GARCH,5522.246777386697,5555.902321992597,-2754.1233886933487,0,False,False
UNI,GJR-GARCH,5517.676911912504,5556.140391462103,-2750.838455956252,0,False,False
UNI,EGARCH,5499.845751483915,5538.309231033514,-2741.9228757419573,0,False,True
AAVE,GARCH,5559.696480775979,5593.352025381878,-2772.8482403879893,0,False,False
AAVE,GJR-GARCH,5560.615960276886,5599.079439826485,-2772.307980138443,0,False,False
AAVE,EGARCH,5557.094654211517,5595.558133761117,-2770.5473271057585,0,False,True
GLD,GARCH,2701.528955943508,2735.184500549408,-1343.764477971754,0,False,False
GLD,GJR-GARCH,2698.7299640997935,2737.193443649393,-1341.3649820498968,0,False,True
GLD,EGARCH,2701.7151491367044,2740.178628686304,-1342.8575745683522,0,False,False
