series,model,n_obs,mu,phi_AR1,omega,alpha,gamma_asym,beta,nu_df,lambda_skew,persistence,loglik,AIC,BIC
FANG,EGARCH,906,0.10843731475096739,0.0041423847933759516,0.04315695252423895,0.1621655014076769,-0.07578609035335074,0.9530726925201692,15.61279877099007,-0.13530273375646462,0.9530726925201692,-1654.7093261465884,3325.418652293177,3363.8821318427763
SOXX,GARCH,906,0.16979189854020535,-0.04377660673731804,0.14415830857171558,0.06983441558698965,,0.9030161108308218,8.334524273532455,-0.10517251834911027,0.9728505264178114,-1967.0278451836962,3948.0556903673923,3981.711234973292
SMH,GJR-GARCH,906,0.19116762440491572,-0.03690591473251898,0.1849198653930067,0.031896567617823265,0.057442489183690874,0.8973467847645665,8.07861709008632,-0.11578718501997204,0.9579645969742352,-1921.3401625447973,3858.6803250895946,3897.143804639194
SHV,GJR-GARCH,906,0.012469167369678229,-0.33748850779690426,0.0010818052393095888,0.16614963902401636,0.09136674117362101,0.7781163461734595,16.54965979315402,-0.21500394027613917,0.9899493557842863,1574.1470802368613,-3132.2941604737225,-3093.830680924123
IEF,GARCH,906,0.009514763223312461,-0.030038099642934833,0.0004993170934782932,0.022441131520416612,,0.9730093956044398,80.28251253028938,0.012623119960743329,0.9954505271248564,-481.7500666899397,977.5001333798793,1011.1556779857788
BUIDL,EGARCH,528,0.01737769788485899,0.026658196978241015,1.0889529263493796,1.2026988719436023,0.511002822527568,0.7014974679148288,2.05,0.0008198387416686673,0.7014974679148288,-817.8206836949325,1651.641367389865,1685.778971778196
OUSG,EGARCH,880,0.12479828331583491,-0.0026141188767996116,0.9142607578364296,0.6628489483199285,0.12362511749690834,0.7565655811203819,2.05,0.12386963226006735,0.7565655811203819,-1417.3369104225658,2850.6738208451316,2888.904100026613
sUSDS,EGARCH,371,0.16565877778603835,-0.02028144796789325,5.101458075594793,0.9675446238840055,-0.6039864670038765,0.0,2.05,-0.006803216786608353,0.0,-919.3095182288573,1854.6190364577146,1885.9270605028207
BTC,EGARCH,906,0.12410652113542482,-0.05177149733739841,0.11204621454405446,0.16048727744129274,-0.051030825635472885,0.9517723741349884,4.860430747157406,0.07965008826089728,0.9517723741349884,-2189.0748042730047,4394.149608546009,4432.613088095609
ETH,EGARCH,906,0.034327681530953176,-0.06264923286589617,0.056199528738609776,0.12492298680544353,-0.009762191425099105,0.9840766875936707,3.85620420128241,0.04208959628676778,0.9840766875936707,-2443.997336495124,4903.994672990248,4942.458152539847
UNI,EGARCH,906,0.004985215099397406,-0.038124887708045674,0.002975689818933354,-0.02220162211977751,0.04915311884132902,0.9988809180825173,4.550535325731436,0.08125777790262927,0.9988809180825173,-2741.9228757419573,5499.845751483915,5538.309231033514
AAVE,EGARCH,906,-0.0023743931174849174,-0.023700237925500786,0.12148990353347594,0.11142226777010907,0.022775714110517833,0.9650728553467773,5.714702831735221,0.01184094479548236,0.9650728553467773,-2770.5473271057585,5557.094654211517,5595.558133761117
GLD,GJR-GARCH,906,0.09683074521100048,-0.021356588259173012,0.020919215225824035,0.11667831118755655,-0.06209729250953199,0.9033479695898713,9.07860812304651,-0.048338591229107504,0.9889776345226619,-1341.3649820498968,2698.7299640997935,2737.193443649393
