hedged_equity,hedge_instrument,n_obs,mean_beta_star,sd_beta_star,var_unhedged,var_hedged,HE,HE_cost_5bp,HE_cost_10bp,HE_cost_20bp,VaR95_unhedged,VaR95_hedged,CVaR95_unhedged,CVaR95_hedged,mean_turnover
FANG,BUIDL,526,0.033564876173178,0.015291077323657696,2.516448608871483,2.5201147781784705,-0.0014568822482854404,-0.0014556258489990537,-0.0014543698858169307,-0.0014518592677614794,-2.775829952867582,-2.8275221938265642,-3.73185268732829,-3.7659984509284707,0.007307768455312212
FANG,OUSG,878,0.007640027519248236,0.03322242655245267,2.40143356871022,2.412928951248573,-0.004786883421691757,-0.004785296377425752,-0.004783713267130452,-0.00478055884845241,-2.6576297517074803,-2.631372368377394,-3.4864120513417016,-3.492638894781361,0.028537135254836116
FANG,sUSDS,369,-0.00493470703343777,0.02901302313094896,2.411492997646191,2.4105472204034406,0.0003921957242560836,0.0003938780816792331,0.0003955591662483382,0.00039891751682852306,-2.552148413426708,-2.5559255045544087,-3.533640011283753,-3.527725054201977,0.014653581394875182
FANG,SHV,904,0.17464551692295416,0.04008656968886971,2.490573471145306,2.490474455249953,3.9756263567336525e-05,3.976060374277779e-05,3.976494390356411e-05,3.97736241870561e-05,-2.650532305046065,-2.6594723770230324,-3.4678880814663673,-3.471822906185218,0.00894166275511564
FANG,IEF,904,0.16646350748903957,0.6681464932767026,2.490573471145306,2.44040937290414,0.020141585390812677,0.02013778227434082,0.020133976231322626,0.02012635536565477,-2.650532305046065,-2.6121565822590522,-3.4678880814663673,-3.517044109728118,0.1648795924520361
SOXX,BUIDL,526,0.06690699739972515,0.03413569849592501,6.74029060908725,6.804781993833138,-0.00956804216407825,-0.009567439620657758,-0.009566837479741297,-0.00956563440541669,-4.693145254443405,-4.727253001249626,-6.2533353406214545,-6.382358710788846,0.01371956059078772
SOXX,OUSG,878,0.0016278376332746183,0.06081706302987192,5.2609155960286245,5.2773675192025555,-0.0031271977042077737,-0.0031289337003574946,-0.003130672680798252,-0.003134159594559982,-3.7931693462388303,-3.8498791352668946,-5.45894064495866,-5.456216803592374,0.05251845270663199
SOXX,sUSDS,369,-0.0002243637027015679,0.029703654469601024,7.068990364778696,7.087224098363632,-0.0025793971478282884,-0.0025781513355995767,-0.0025769061287865824,-0.002574417531414186,-4.814573725281933,-4.815826301170419,-6.158280949448573,-6.171532453662071,0.014579667961699289
SOXX,SHV,904,-0.04302570461501324,2.665541347052196,5.25269228184357,5.256126359195317,-0.000653774705900334,-0.0006536363465385886,-0.0006534981855594868,-0.0006532224587367796,-3.76423686405216,-3.775580173297372,-5.385564999994314,-5.375438187458667,2.0354393166962983
SOXX,IEF,904,0.11017516203750956,0.8181586531268671,5.25269228184357,5.187772895345744,0.012359259407261791,0.012355334579924548,0.0123514087420038,0.012343554034415671,-3.76423686405216,-3.7577742907697353,-5.385564999994314,-5.434202919481983,0.1189831551869392
SMH,BUIDL,526,0.07640842945129955,0.03669576329044663,5.761337969053797,5.805037033248396,-0.0075848812253891396,-0.007583696523610239,-0.007582512553754084,-0.0075801468098093405,-4.174759426648363,-4.162101053933423,-5.751234017481771,-5.878418987836451,0.01596554845806851
SMH,OUSG,878,-0.002355969403704506,0.05617503080730632,4.641964920249496,4.658190874969661,-0.003495492749069129,-0.003496812113257919,-0.003498134963970001,-0.0035007911249600454,-3.5285592385397324,-3.541953061772779,-5.024482309288243,-5.004929232447808,0.04865090897824878
SMH,sUSDS,369,-0.00348154343278046,0.026128271049770353,5.748684263263934,5.763113177445734,-0.002509950715854359,-0.00250889491527051,-0.0025078396534521374,-0.0025057307461153755,-4.16795841788781,-4.153347045367505,-5.5299282984432985,-5.530562623063699,0.013051721006242436
BTC,BUIDL,526,0.07268563644881562,0.03298737660320481,7.491829326391623,7.516414087492091,-0.0032815431357815505,-0.003278697814416809,-0.0032758531374486033,-0.0032701657166978038,-4.017238753346767,-4.297728882816334,-5.750188853122015,-5.801832056894162,0.01563835931406084
BTC,OUSG,878,0.011404662590683876,0.005775091988501768,8.252331091406246,8.247909056625737,0.0005358528071073287,0.0005360469358423048,0.0005362410367556469,0.0005366291551199831,-4.386308521735797,-4.389671998346041,-5.973754492367061,-5.977380526055629,0.003333303561556855
BTC,sUSDS,369,-0.0024372735584160554,0.047768346200137854,6.504678242293986,6.5411394805154135,-0.0056053869020535885,-0.005596846200166317,-0.005588310666785334,-0.005571255105553119,-4.071635830971284,-4.141885743270145,-5.756180886592973,-5.781290446384043,0.04747114503884002
BTC,SHV,904,0.05126049803775961,0.3828290522876342,8.251937019599515,8.258018355444237,-0.0007369585868479689,-0.00073688300181729,-0.0007368074304838768,-0.0007366563288968564,-4.322988248463146,-4.320546956484207,-5.903339920797348,-5.9055200071136,0.3160875228120184
BTC,IEF,904,-0.0015525441981034808,0.5833095932970607,8.251937019599515,8.230886101195537,0.0025510275168095786,0.0025522659516546975,0.002553503609192709,0.0025559765923404143,-4.322988248463146,-4.2351826444025695,-5.903339920797348,-5.858523450192813,0.17501278803169734
ETH,BUIDL,526,0.020791437649078218,0.009674410843569415,17.39332562436149,17.399542256998874,-0.0003574148366816132,-0.00035711682586181404,-0.00035681883445581875,-0.0003562229098814651,-6.181811487889193,-6.1819761796273,-9.382512567875144,-9.391920743064574,0.004351862622468241
ETH,OUSG,878,0.031125367407818332,0.042673984355780306,14.827760437230042,14.814196093066048,0.0009147938571988368,0.0009148536275549457,0.0009149133536867637,0.0009150326732881853,-5.8680272019404205,-5.824297195642459,-8.519452827384583,-8.556958074893375,0.005692076854003755
ETH,sUSDS,369,-0.01187930774346377,0.002690472500572634,17.139733696921517,17.128852387538483,0.0006348587192454014,0.0006350656522902121,0.0006352725829891215,0.0006356864373450177,-6.09186602730972,-6.101862610678104,-9.531728047687102,-9.516048516570406,0.0016634038447980262
ETH,SHV,904,1.1714481186755097,0.2923711873086106,14.767877407241425,14.76907358001169,-8.09982868410497e-05,-8.10026493440752e-05,-8.100701372626418e-05,-8.101574812791057e-05,-5.78736591760107,-5.839243959662602,-8.402445630429252,-8.424923766140022,0.16222557889783273
ETH,IEF,904,0.20761513852716035,0.6575177007211104,14.767877407241425,14.709001689594077,0.003986742036365953,0.003987948902445693,0.003989155155800894,0.003991565824339127,-5.78736591760107,-5.853000828618505,-8.402445630429252,-8.35527162263744,0.21635649789761255
