"variable","TO","FROM","NET","band"
"FANG",65.4,65.87,-0.47,"Total"
"SOXX",74.73,68.5,6.24,"Total"
"SMH",78.15,69.22,8.93,"Total"
"SHV",9.35,19.82,-10.47,"Total"
"IEF",14.7,18.99,-4.3,"Total"
"BUIDL",5,5.78,-0.78,"Total"
"OUSG",7.49,7.25,0.25,"Total"
"BTC",65.84,66.71,-0.87,"Total"
"ETH",85.47,71.24,14.23,"Total"
"UNI",62.82,65.44,-2.62,"Total"
"AAVE",62.21,65.46,-3.25,"Total"
"GLD",13.59,20.48,-6.89,"Total"
"FANG",55.54,53.1,2.43,"1-5"
"SOXX",62.41,57.23,5.18,"1-5"
"SMH",65.12,57.83,7.29,"1-5"
"SHV",7.56,16.43,-8.86,"1-5"
"IEF",11.85,15.58,-3.73,"1-5"
"BUIDL",4.02,3.97,0.05,"1-5"
"OUSG",5.89,6.24,-0.35,"1-5"
"BTC",54.21,56.11,-1.9,"1-5"
"ETH",71.4,58.01,13.39,"1-5"
"UNI",51.8,54.68,-2.89,"1-5"
"AAVE",50.57,55.19,-4.62,"1-5"
"GLD",11.03,17.01,-5.98,"1-5"
"FANG",7.33,9.42,-2.09,"5-20"
"SOXX",9.13,8.34,0.79,"5-20"
"SMH",9.64,8.43,1.21,"5-20"
"SHV",1.32,2.52,-1.2,"5-20"
"IEF",2.08,2.53,-0.44,"5-20"
"BUIDL",0.72,1.3,-0.58,"5-20"
"OUSG",1.18,0.75,0.44,"5-20"
"BTC",8.6,7.88,0.72,"5-20"
"ETH",10.44,9.79,0.65,"5-20"
"UNI",8.17,7.97,0.2,"5-20"
"AAVE",8.61,7.63,0.98,"5-20"
"GLD",1.88,2.56,-0.68,"5-20"
"FANG",2.54,3.35,-0.81,"20-Inf"
"SOXX",3.19,2.92,0.27,"20-Inf"
"SMH",3.38,2.95,0.43,"20-Inf"
"SHV",0.47,0.88,-0.4,"20-Inf"
"IEF",0.76,0.89,-0.12,"20-Inf"
"BUIDL",0.26,0.51,-0.25,"20-Inf"
"OUSG",0.42,0.26,0.16,"20-Inf"
"BTC",3.03,2.72,0.31,"20-Inf"
"ETH",3.64,3.45,0.19,"20-Inf"
"UNI",2.86,2.79,0.06,"20-Inf"
"AAVE",3.03,2.64,0.39,"20-Inf"
"GLD",0.67,0.9,-0.23,"20-Inf"
