,TO,FROM,NET
FANG,62.324848498727484,64.69501653984962,-2.3701680411221346
SOXX,71.74012126531244,67.07233030674922,4.6677909585632165
SMH,76.31075170202892,68.13624715851788,8.174504543511048
SHV,8.73190115351542,12.168366016554621,-3.436464863039202
IEF,12.574496509577504,12.489001457646943,0.08549505193056106
BUIDL,2.5605609148875996,3.218605579991096,-0.6580446651034966
OUSG,3.6538942494674265,5.716520628341271,-2.062626378873844
BTC,66.00096138409836,66.553393460846,-0.5524320767476354
ETH,84.02160314258111,70.58005283471103,13.441550307870088
UNI,58.654806833760475,64.14339646980586,-5.48858963604539
AAVE,60.60965723382458,64.81243724330474,-4.202780009480165
GLD,12.324114242535133,19.922349433998132,-7.598235191462999
